,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
16691,54553,Analytics,region_15,Bachelor's,m,other,1,30,1,5,0,1,1,1
17340,30703,Technology,region_2,Bachelor's,m,sourcing,1,41,1,10,0,1,1,1
17387,10790,Technology,region_27,Bachelor's,m,other,2,28,1,1,0,1,1,1
17543,17162,Operations,region_2,Bachelor's,f,other,1,37,1,4,0,1,1,1
17663,57337,Operations,region_2,Bachelor's,f,sourcing,1,33,1,6,0,1,1,1
17765,21080,Procurement,region_15,Master's & above,m,referred,1,36,1,6,0,1,1,1
17836,27831,Analytics,region_12,Bachelor's,m,other,1,29,1,2,0,1,1,1
18077,31696,Procurement,region_6,Bachelor's,f,other,1,33,1,4,0,1,1,1
18226,71348,R&D,region_22,Master's & above,m,sourcing,2,34,1,3,0,1,1,1
18363,9590,Technology,region_22,Bachelor's,f,sourcing,1,27,1,2,0,1,1,1
18416,61704,Technology,region_33,Master's & above,m,other,1,39,1,8,0,1,1,1
18723,22367,Analytics,region_2,Bachelor's,m,sourcing,1,38,1,3,0,1,1,1
19548,39416,Analytics,region_28,Master's & above,m,sourcing,1,38,1,6,0,1,1,1
19735,35575,Operations,region_22,Bachelor's,f,sourcing,2,29,1,6,0,1,1,1
19809,57549,Technology,region_7,Master's & above,f,sourcing,1,31,1,5,0,1,1,1
19923,71954,Procurement,region_17,Bachelor's,m,other,1,25,1,2,0,1,1,1
20120,75045,Operations,region_26,Bachelor's,m,other,1,25,1,2,0,1,1,1
21354,67296,Analytics,region_22,Bachelor's,m,referred,1,26,1,2,0,1,1,1
21412,76857,Analytics,region_32,Bachelor's,m,sourcing,2,34,1,5,0,1,1,1
21421,285,Operations,region_5,Master's & above,m,other,1,47,1,19,0,1,1,1
21491,31396,Finance,region_7,Bachelor's,f,sourcing,2,29,1,2,0,1,1,1
21947,26132,Technology,region_7,Below Secondary,f,sourcing,1,25,1,4,0,1,1,1
22797,28761,Procurement,region_7,Master's & above,m,other,1,47,1,4,0,1,1,1
23133,23742,Procurement,region_20,Master's & above,m,other,1,34,1,6,0,1,1,1
